,Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
210,Girl,11-15,School,Government,No,No,High,Poor,Mobile Data,2G,01-03,No,Mobile,Low
211,Girl,16-20,School,Government,No,No,Low,Rich,Mobile Data,4G,01-03,No,Mobile,High
212,Girl,16-20,College,Government,No,No,High,Mid,Mobile Data,3G,01-03,No,Mobile,Low
213,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,,03-06,No,Computer,Moderate
214,,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
215,Boy,16-20,School,Government,No,Yes,Low,Rich,Mobile Data,4G,01-03,No,Mobile,Moderate
216,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
217,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
218,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,3G,03-06,No,Mobile,Low
219,Boy,11-15,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
220,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,03-06,Yes,Computer,Moderate
221,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,03-06,No,Mobile,Moderate
222,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
223,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
224,Girl,21-25,University,Non Government,No,No,Low,Mid,Wifi,4G,0,No,Mobile,Low
225,Girl,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
226,Boy,,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,03-06,Yes,Mobile,Moderate
227,Boy,,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Low
228,Boy,11-15,,Non Government,No,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
229,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Moderate
230,Girl,11-15,School,Non Government,No,Yes,,Poor,Wifi,3G,01-03,No,Mobile,Moderate
231,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,Yes,Mobile,Moderate
232,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
233,Boy,11-15,School,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,High
234,Boy,21-25,University,Non Government,Yes,No,Low,Mid,Wifi,4G,03-06,Yes,Computer,Moderate
235,Boy,21-25,University,Non Government,Yes,No,High,Poor,Mobile Data,3G,03-06,Yes,Mobile,Moderate
236,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Computer,Moderate
237,Girl,26-30,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
238,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,2G,03-06,No,Mobile,Moderate
239,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
240,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Low
241,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
242,,11-15,School,Government,No,Yes,Low,Rich,Wifi,4G,01-03,No,Mobile,Moderate
243,Girl,16-20,College,Non Government,No,No,High,Mid,Wifi,4G,03-06,No,Mobile,Moderate
244,Girl,11-15,School,Non Government,No,No,High,Mid,Mobile Data,3G,0,,Mobile,Low
245,Girl,01-05,School,Non Government,No,Yes,Low,Poor,Wifi,4G,01-03,No,Mobile,Moderate
246,Boy,,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,03-06,Yes,Computer,Moderate
